#angle,weight
:2016-06-09 153717333-0500:-88.47221,39077.00391
:2016-06-09 153718333-0500:-89.60828,39076.73047
:2016-06-09 153719333-0500:0.09287,39076.08594
:2016-06-09 153720333-0500:-0.57934,39075.21484
:2016-06-09 153721333-0500:-0.81615,39074.31641
:2016-06-09 153722333-0500:0.00968,39073.84766
:2016-06-09 153723333-0500:0.00968,39073.84766
:2016-06-09 153724333-0500:-0.08999,39073.60547
:2016-06-09 153725333-0500:-0.10696,39073.26172
:2016-06-09 153726333-0500:-0.10897,39072.69531
:2016-06-09 153727333-0500:-0.10607,39072.08984
:2016-06-09 153728333-0500:-0.09909,39071.43359
:2016-06-09 153729333-0500:-0.12646,39070.8125
:2016-06-09 153730333-0500:-0.40509,39070.15625
:2016-06-09 153731333-0500:-0.28391,39069.50781
:2016-06-09 153732333-0500:-0.07062,39068.83594
:2016-06-09 153733333-0500:-0.0658,39068.18359
:2016-06-09 153734333-0500:-0.29778,39067.53516
:2016-06-09 153735333-0500:-0.98416,39066.91016
:2016-06-09 153736333-0500:-1.45287,39066.24219
:2016-06-09 153737333-0500:-1.87456,39065.59375
:2016-06-09 153738333-0500:-2.22434,39064.97266
:2016-06-09 153739333-0500:-2.49897,39064.34766
:2016-06-09 153740333-0500:-2.02866,39063.70703
:2016-06-09 153741333-0500:-1.4552,39063.04297
:2016-06-09 153742333-0500:-0.90751,39062.39844
:2016-06-09 153743333-0500:-0.38725,39061.73047
:2016-06-09 153744333-0500:0.0966,39061.10547
:2016-06-09 153745333-0500:0.5506,39060.48047
:2016-06-09 153746333-0500:1.52391,39059.83203
:2016-06-09 153747333-0500:1.59846,39059.16016
:2016-06-09 153748333-0500:1.28496,39058.48828
:2016-06-09 153749333-0500:0.71976,39057.81641
:2016-06-09 153750333-0500:0.22606,39057.16406
:2016-06-09 153751333-0500:-0.33137,39056.53516
:2016-06-09 153752333-0500:-0.61303,39055.88672
:2016-06-09 153753333-0500:-0.67782,39055.25781
:2016-06-09 153754333-0500:-0.66205,39054.61328
:2016-06-09 153755333-0500:-0.55971,39053.98828
:2016-06-09 153756333-0500:-0.41137,39053.36328
:2016-06-09 153757333-0500:-0.25847,39052.69141
:2016-06-09 153758333-0500:-0.13604,39052.04297
:2016-06-09 153759333-0500:-0.05946,39051.39062
:2016-06-09 153800333-0500:-0.02832,39050.71875
:2016-06-09 153801333-0500:-0.03211,39050.07031
:2016-06-09 153802333-0500:-0.05611,39049.44141
:2016-06-09 153803333-0500:-0.08643,39048.76562
:2016-06-09 153804333-0500:-0.11283,39048.11719
:2016-06-09 153805333-0500:-0.12923,39047.47266
:2016-06-09 153806333-0500:-0.13341,39046.80078
:2016-06-09 153807333-0500:-0.12803,39046.15234
:2016-06-09 153808333-0500:-0.11668,39045.5
:2016-06-09 153809333-0500:-0.10243,39044.85547
:2016-06-09 153810333-0500:-0.08852,39044.18359
:2016-06-09 153811333-0500:-0.07703,39043.53906
:2016-06-09 153812333-0500:-0.0686,39042.88672
:2016-06-09 153813333-0500:-0.0628,39042.26172
:2016-06-09 153814333-0500:-0.0589,39041.61328
:2016-06-09 153815333-0500:-0.05624,39040.98828
:2016-06-09 153816333-0500:-0.05376,39040.31641
:2016-06-09 153817333-0500:-0.05112,39039.64844
:2016-06-09 153818333-0500:-0.04784,39038.97656
:2016-06-09 153819333-0500:-0.04395,39038.33203
:2016-06-09 153820333-0500:-0.03967,39037.67969
:2016-06-09 153821333-0500:-0.03504,39037.03516
:2016-06-09 153822333-0500:-0.03067,39036.36719
:2016-06-09 153823333-0500:-0.02605,39035.73828
:2016-06-09 153824333-0500:-0.0218,39035.09375
:2016-06-09 153825333-0500:-0.01762,39034.44531
:2016-06-09 153826333-0500:-0.01379,39033.82031
:2016-06-09 153827333-0500:-0.01005,39033.15234
:2016-06-09 153828333-0500:-0.00677,39032.52344
:2016-06-09 153829333-0500:-0.00302,39031.89844
:2016-06-09 153830333-0500:0.00043,39031.26953
:2016-06-09 153831333-0500:0.00378,39030.625
:2016-06-09 153832333-0500:0.00721,39029.97266
:2016-06-09 153833333-0500:0.01066,39029.30469
:2016-06-09 153834333-0500:0.01414,39028.67969
:2016-06-09 153835333-0500:0.01767,39028.03125
:2016-06-09 153836333-0500:0.02083,39027.38672
:2016-06-09 153837333-0500:0.02406,39026.73828
:2016-06-09 153838333-0500:0.02746,39026.07031
:2016-06-09 153839333-0500:0.03077,39025.41797
:2016-06-09 153840333-0500:0.03393,39024.76953
:2016-06-09 153841333-0500:0.03695,39024.11719
:2016-06-09 153842333-0500:0.04014,39023.78125
:2016-06-09 153843333-0500:0.04321,39023.15625
:2016-06-09 153844333-0500:0.04647,39022.51172
:2016-06-09 153845333-0500:0.04931,39021.83984
:2016-06-09 153846333-0500:0.05233,39021.16797
:2016-06-09 153847333-0500:0.05528,39020.53906
:2016-06-09 153848333-0500:0.05817,39019.89062
:2016-06-09 153849333-0500:0.06101,39019.26562
:2016-06-09 153850333-0500:0.06379,39018.59375
:2016-06-09 153851333-0500:0.06668,39017.96484
:2016-06-09 153852333-0500:0.06961,39017.32031
:2016-06-09 153853333-0500:0.07238,39016.66797
:2016-06-09 153854333-0500:0.07491,39015.99609
:2016-06-09 153855333-0500:0.07768,39015.36719
:2016-06-09 153856333-0500:0.0804,39014.72266
