   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
223.92621,17.78865,-10.66578,0.56215,30043.11328
223.85493,17.78866,-10.66575,0.5639,30042.67969
223.78494,17.78867,-10.66573,0.56654,30042.24219
223.71576,17.78867,-10.66571,0.56875,30041.80664
223.64731,17.78868,-10.66569,0.57087,30041.37109
223.57919,17.78868,-10.66568,0.57306,30040.93555
223.51137,17.78868,-10.66567,0.57532,30040.49805
223.44543,17.78868,-10.66567,0.57755,30040.06445
223.3777,17.78868,-10.66567,0.57981,30039.62695
223.31383,17.78868,-10.66567,0.58176,30039.19141
223.25053,17.78868,-10.66567,0.58391,30038.75391
223.18759,17.78868,-10.66567,0.58591,30038.32031
223.12346,17.78868,-10.66568,0.58803,30037.88281
223.05997,17.78868,-10.66568,0.58979,30037.44727
222.99872,17.78868,-10.66569,0.59219,30037.00977
222.93803,17.78868,-10.6657,0.59417,30036.57617
222.8765,17.78867,-10.66571,0.59612,30036.13867
222.82008,17.78867,-10.66572,0.59788,30035.70312
222.75812,17.78867,-10.66572,0.59979,30035.26953
222.70001,17.78866,-10.66573,0.60182,30034.83398
222.63957,17.78866,-10.66574,0.60405,30034.39844
222.58157,17.78866,-10.66575,0.60588,30033.96484
222.52542,17.78866,-10.66575,0.60792,30033.5293
222.47183,17.78865,-10.66577,0.6095,30033.0918
222.41751,17.78865,-10.66578,0.61096,30032.6543
222.36273,17.78864,-10.66579,0.61284,30032.2207
222.30562,17.78864,-10.66581,0.61459,30031.78516
222.25305,17.78863,-10.66583,0.61648,30031.34961
222.20169,17.78863,-10.66584,0.61837,30030.91602
222.14865,17.78862,-10.66585,0.61993,30030.48047
222.09557,17.78862,-10.66587,0.62181,30030.04492
222.04529,17.78861,-10.66588,0.62316,30029.60938
221.99574,17.78861,-10.6659,0.62519,30029.17383
221.94725,17.7886,-10.66591,0.6265,30028.73828
221.89674,17.7886,-10.66592,0.62857,30028.30273
221.85019,17.78859,-10.66594,0.63002,30027.86719
221.80287,17.78859,-10.66595,0.6314,30027.43164
221.75526,17.78858,-10.66597,0.63289,30026.99805
221.70874,17.78858,-10.66599,0.63461,30026.56055
221.66219,17.78857,-10.666,0.6359,30026.125
221.61736,17.78856,-10.66602,0.63748,30025.68945
221.56995,17.78856,-10.66603,0.63931,30025.25391
221.52361,17.78855,-10.66605,0.64036,30024.81836
221.47955,17.78855,-10.66606,0.64229,30024.38281
221.43459,17.78855,-10.66607,0.64363,30023.94922
221.38504,17.78854,-10.66608,0.6455,30023.51367
220.88806,17.78852,-10.66615,0.6757,30023.16211
220.19058,17.78851,-10.66617,0.68015,30022.85547
219.51265,17.7887,-10.66562,0.70908,30022.54883
218.86433,17.7891,-10.66448,0.74759,30022.24414
218.22934,17.78963,-10.66296,0.79217,30021.93945
217.5865,17.79019,-10.66136,0.82833,30021.63477
216.94225,17.79069,-10.65992,0.8564,30021.33008
216.29819,17.7911,-10.65874,0.87996,30021.02539
215.65321,17.79143,-10.6578,0.90146,30020.7207
215.00916,17.79169,-10.65707,0.9228,30020.41602
214.36644,17.79189,-10.65648,0.94453,30020.11133
213.73698,17.79206,-10.656,0.96695,30019.80664
213.09962,17.79221,-10.65558,0.99037,30019.50195
212.47905,17.79233,-10.65522,1.01402,30019.19727
211.85178,17.79245,-10.65489,1.03837,30018.89453
211.23845,17.79255,-10.65459,1.06291,30018.58789
210.6201,17.79265,-10.65432,1.08781,30018.28516
210.00478,17.79273,-10.65408,1.11274,30017.97852
209.39404,17.79281,-10.65386,1.13763,30017.67578
208.78586,17.79288,-10.65366,1.16268,30017.36914
208.18306,17.79294,-10.65348,1.18779,30017.06641
207.59305,17.79299,-10.65333,1.21255,30016.76172
206.99812,17.79304,-10.65319,1.23762,30016.45703
206.40695,17.79308,-10.65308,1.26278,30016.15234
205.81956,17.79312,-10.65297,1.28811,30015.84961
205.23735,17.79315,-10.65289,1.31338,30015.54297
204.66003,17.79317,-10.65281,1.3386,30015.24023
204.09369,17.7932,-10.65275,1.36354,30014.93555
203.52048,17.79321,-10.6527,1.3891,30014.63086
202.95308,17.79323,-10.65266,1.41446,30014.32617
202.38986,17.79324,-10.65262,1.43994,30014.02148
201.83847,17.79325,-10.65259,1.46524,30013.86914
