a,b,c
1.059414885831115205e+00,1.901868473120695180e+00,2.000000000000000000e+00
9.843200390658735088e-01,2.164221487423204859e+00,2.000000000000000000e+00
9.652487861473136865e-01,1.711397552980939096e+00,2.000000000000000000e+00
1.065136507631748275e+00,1.743182223363641370e+00,2.000000000000000000e+00
7.892640902485464904e-01,2.144348411378423691e+00,2.000000000000000000e+00
9.980062081714350386e-01,2.413153803348056403e+00,2.000000000000000000e+00
1.062115876966263528e+00,2.249053902557509588e+00,2.000000000000000000e+00
1.098612940712031749e+00,2.375161000755016794e+00,2.000000000000000000e+00
8.782273143621301958e-01,1.920820963473858223e+00,2.000000000000000000e+00
9.043365259428273184e-01,1.933667499997896000e+00,2.000000000000000000e+00
1.033483862062512415e+00,2.069819862753214057e+00,2.000000000000000000e+00
9.008330292047592724e-01,2.189979966199600447e+00,2.000000000000000000e+00
1.112101178564743886e+00,1.459598575291256140e+00,2.000000000000000000e+00
9.510771046242428861e-01,1.643086403357353786e+00,2.000000000000000000e+00
9.959609238206061921e-01,1.848174088407222193e+00,2.000000000000000000e+00
1.075964283155685708e+00,2.038082664291859913e+00,2.000000000000000000e+00
1.102337324544056640e+00,1.712466727078090667e+00,2.000000000000000000e+00
1.017627213368037520e+00,2.489598527054476040e+00,2.000000000000000000e+00
9.995505033029168374e-01,1.941863537784315641e+00,2.000000000000000000e+00
8.452901595922788225e-01,2.189100031855542916e+00,2.000000000000000000e+00
1.193851770561088266e+00,1.841664578545090469e+00,2.000000000000000000e+00
9.072867511451714329e-01,1.350344472703243870e+00,2.000000000000000000e+00
1.025122181506096464e+00,1.971975612288051627e+00,2.000000000000000000e+00
1.005111596109049321e+00,1.765873927215215078e+00,2.000000000000000000e+00
9.752194014294415236e-01,2.170022302918304558e+00,2.000000000000000000e+00
1.096868797875651280e+00,1.841737210004820824e+00,2.000000000000000000e+00
1.069726376773689758e+00,1.982456509047604953e+00,2.000000000000000000e+00
1.018786686414802745e+00,1.808306482575355201e+00,2.000000000000000000e+00
1.074877280823523629e+00,2.080548634997970048e+00,2.000000000000000000e+00
9.137194189695188040e-01,2.191087527703087900e+00,2.000000000000000000e+00
9.701617552546446532e-01,1.783673320708206056e+00,2.000000000000000000e+00
9.884012332652062360e-01,2.010830422824170682e+00,2.000000000000000000e+00
9.623874333674056203e-01,1.992506815530127096e+00,2.000000000000000000e+00
1.014944561674399504e+00,1.739053846070401033e+00,2.000000000000000000e+00
1.011355590370876412e+00,2.040684109183971362e+00,2.000000000000000000e+00
9.728167443326107833e-01,1.915787304194326524e+00,2.000000000000000000e+00
8.439952043103192691e-01,1.870701083122648045e+00,2.000000000000000000e+00
8.641542008249143425e-01,2.042584900701565953e+00,2.000000000000000000e+00
1.010919143565737643e+00,1.698110880055101690e+00,2.000000000000000000e+00
9.650859282101595937e-01,2.064088352382617231e+00,2.000000000000000000e+00
1.067751216835309602e+00,2.093330540564979803e+00,2.000000000000000000e+00
1.041231031961273201e+00,2.087915954267087315e+00,2.000000000000000000e+00
8.499073879642141671e-01,1.972023271972012992e+00,2.000000000000000000e+00
1.008722779965921523e+00,1.797089647513063770e+00,2.000000000000000000e+00
9.842091235557426376e-01,1.933922164412155587e+00,2.000000000000000000e+00
1.111441655560702291e+00,1.661064172128811967e+00,2.000000000000000000e+00
9.244389255947428330e-01,1.879811612106814245e+00,2.000000000000000000e+00
1.028195956581915427e+00,2.101167119724268062e+00,2.000000000000000000e+00
1.042479743483840871e+00,2.463004966044278543e+00,2.000000000000000000e+00
8.894785526034283407e-01,2.084286607516548262e+00,2.000000000000000000e+00
1.085433847107661443e+00,1.718788930690768879e+00,2.000000000000000000e+00
1.083029863194220344e+00,2.130682161262752672e+00,2.000000000000000000e+00
9.794860426364311312e-01,1.958080628898957398e+00,2.000000000000000000e+00
1.027556781129033370e+00,1.792746178674279101e+00,2.000000000000000000e+00
1.000145588760070758e+00,1.870032274916177517e+00,2.000000000000000000e+00
1.000927863238844306e+00,1.851782606850196355e+00,2.000000000000000000e+00
9.584865132807951493e-01,1.724191710657025922e+00,2.000000000000000000e+00
1.008896549934660714e+00,1.756142235699778897e+00,2.000000000000000000e+00
1.121222216083680445e+00,1.811231335346438875e+00,2.000000000000000000e+00
1.118985096026740900e+00,1.752873239386525395e+00,2.000000000000000000e+00
9.183751239212116779e-01,1.997831338792362299e+00,2.000000000000000000e+00
9.638095017388579322e-01,2.392493479107940857e+00,2.000000000000000000e+00
8.041919379749116192e-01,1.806086270282767803e+00,2.000000000000000000e+00
1.104100530955599568e+00,1.711357824559953222e+00,2.000000000000000000e+00
1.101121468159647954e+00,2.179614678354680812e+00,2.000000000000000000e+00
9.982077733341891967e-01,1.928154257152223217e+00,2.000000000000000000e+00
8.645536934942068541e-01,2.124682883035504233e+00,2.000000000000000000e+00
7.759205292042939961e-01,1.803419303262067341e+00,2.000000000000000000e+00
1.097097465858324128e+00,2.080062373021048572e+00,2.000000000000000000e+00
1.283000154540186788e+00,1.934434693881886380e+00,2.000000000000000000e+00
9.634792451093699972e-01,2.042273502145470321e+00,2.000000000000000000e+00
1.123110676029739796e+00,2.223276623300828092e+00,2.000000000000000000e+00
9.651337658704547406e-01,2.112783570726679994e+00,2.000000000000000000e+00
1.044801405401573291e+00,1.929089236882079561e+00,2.000000000000000000e+00
1.067825734557139361e+00,2.071564902568863165e+00,2.000000000000000000e+00
1.043889704304120425e+00,1.851260944047583790e+00,2.000000000000000000e+00
1.144510453072252743e+00,1.871385088609508474e+00,2.000000000000000000e+00
9.045357993019675913e-01,2.091764351816555845e+00,2.000000000000000000e+00
1.006826424612350168e+00,1.906525186593285071e+00,2.000000000000000000e+00
1.037759205690138797e+00,1.770982074832636810e+00,2.000000000000000000e+00
1.076220849239142074e+00,1.484063405142987513e+00,2.000000000000000000e+00
9.567587309434391063e-01,1.933760751027580715e+00,2.000000000000000000e+00
9.929472148265697795e-01,1.989515117066398053e+00,2.000000000000000000e+00
9.767933806761760485e-01,1.653668906407909533e+00,2.000000000000000000e+00
9.642957020039373273e-01,1.891489914640474890e+00,2.000000000000000000e+00
1.168871993451050750e+00,2.326936853254653492e+00,2.000000000000000000e+00
9.775236021757347515e-01,2.242702810975985450e+00,2.000000000000000000e+00
8.984510887356749187e-01,2.128435551598414577e+00,2.000000000000000000e+00
7.998553888892779851e-01,2.197417301585908422e+00,2.000000000000000000e+00
1.104749091778719494e+00,1.945209676409092481e+00,2.000000000000000000e+00
1.137641591138740083e+00,1.920029494316230378e+00,2.000000000000000000e+00
9.079459243978570404e-01,2.454254858236010417e+00,2.000000000000000000e+00
1.022791648643165185e+00,2.107335156108742336e+00,2.000000000000000000e+00
1.016968721975411327e+00,1.990104471010954557e+00,2.000000000000000000e+00
1.037801053522976025e+00,1.820542467697755518e+00,2.000000000000000000e+00
1.109731411173473736e+00,1.563447610812006561e+00,2.000000000000000000e+00
9.366155537462657055e-01,2.033907708230806577e+00,2.000000000000000000e+00
1.067691172965487878e+00,1.950781078703627047e+00,2.000000000000000000e+00
6.985440940149429956e-01,2.036330558621874953e+00,2.000000000000000000e+00
1.053378125640334950e+00,1.791710766354857265e+00,2.000000000000000000e+00
1.147956964306701355e+00,2.008657123132036038e+00,2.000000000000000000e+00
1.098313099573897889e+00,1.820371284117272115e+00,2.000000000000000000e+00
8.859402014637534073e-01,2.293369431947327008e+00,2.000000000000000000e+00
9.766708112088724469e-01,1.836358818259850478e+00,2.000000000000000000e+00
9.110458609137097596e-01,1.949292054254817552e+00,2.000000000000000000e+00
9.748827609896766333e-01,2.016732500650864957e+00,2.000000000000000000e+00
9.773035707970864072e-01,2.333568836126069357e+00,2.000000000000000000e+00
1.095283406663446923e+00,2.069083577813674690e+00,2.000000000000000000e+00
1.055597882244341923e+00,2.153059475458815264e+00,2.000000000000000000e+00
1.094775146600061699e+00,2.208791551668085162e+00,2.000000000000000000e+00
9.930543199108998742e-01,2.107332598314018757e+00,2.000000000000000000e+00
9.501934384486482310e-01,2.082833952214209194e+00,2.000000000000000000e+00
8.328696186003213819e-01,2.368759413594524244e+00,2.000000000000000000e+00
9.934913393978552776e-01,1.842037036369013947e+00,2.000000000000000000e+00
9.756979886655627876e-01,2.065707430975661119e+00,2.000000000000000000e+00
9.245403845179013258e-01,1.882022353088726785e+00,2.000000000000000000e+00
1.037911119091004863e+00,2.018528782029500146e+00,2.000000000000000000e+00
1.088295778879616815e+00,1.674099478790410656e+00,2.000000000000000000e+00
1.051892486317670405e+00,2.151146154093090956e+00,2.000000000000000000e+00
1.235934466559293066e+00,2.031617939998005884e+00,2.000000000000000000e+00
8.622255843229933436e-01,1.945293531525037256e+00,2.000000000000000000e+00
1.039990456002640506e+00,1.802678121435250302e+00,2.000000000000000000e+00
1.082286801741769278e+00,2.147791455379246095e+00,2.000000000000000000e+00
9.615037306052814925e-01,2.115298788954266485e+00,2.000000000000000000e+00
8.252863647106722933e-01,2.221497985119051943e+00,2.000000000000000000e+00
9.811453003264563044e-01,2.070335801880364812e+00,2.000000000000000000e+00
1.182547139511967105e+00,1.882757081083096473e+00,2.000000000000000000e+00
8.574140172965238893e-01,2.079800809474980028e+00,2.000000000000000000e+00
8.474585451574662143e-01,2.065736376795993312e+00,2.000000000000000000e+00
8.192100969202649186e-01,1.962162872173638384e+00,2.000000000000000000e+00
1.045854259268920394e+00,2.045927299348701656e+00,2.000000000000000000e+00
