#v_a,w,h
10.48,17270.12,230.63
2.82,17270.12,230.63
1.21,17270.12,196.56
3.80,17269.61,196.56
1.88,17269.61,196.56
1.88,17269.29,211.44
1.15,17269.29,211.44
1.15,17266.80,212.33
0.63,17266.18,212.33
0.63,17266.18,178.26
0.63,17265.35,178.26
2.37,17265.35,178.26
10.07,17265.35,172.16
14.77,17264.42,172.16
16.48,17264.42,173.05
16.48,17263.59,173.05
16.94,17263.59,201.90
11.28,17262.76,201.90
11.28,17262.76,201.90
11.87,17262.76,216.77
11.48,17261.72,216.77
11.48,17261.72,217.66
17.29,17250.52,217.66
18.18,17250.52,218.55
16.06,17250.52,218.55
16.06,17249.48,218.55
26.42,17249.48,219.44
19.63,17248.76,219.44
21.22,17248.76,206.35
21.22,17247.72,206.35
17.70,17247.72,206.35
17.70,17247.72,200.25
14.90,17246.89,200.25
14.90,17246.89,222.11
11.01,17245.95,222.11
5.08,17245.95,195.03
9.43,17245.95,195.03
7.98,17244.92,195.03
7.98,17239.94,209.90
7.98,17239.21,209.90
4.88,17239.21,224.78
0.75,17237.97,224.78
10.84,17237.97,211.68
6.32,17237.97,211.68
12.77,17236.72,211.68
10.55,17236.72,219.56
14.58,17236.41,219.56
14.58,17236.41,227.44
15.40,17236.41,227.44
10.10,17235.48,228.33
10.10,17235.48,228.33
5.72,17234.13,228.33
1.26,17227.90,229.22
5.79,17227.70,229.22
11.97,17227.70,230.11
11.97,17227.70,230.11
2.61,17226.56,230.11
7.36,17226.56,231.00
17.57,17226.56,231.00
86.22,17222.30,231.89
119.86,17222.30,231.89
135.39,17222.30,470.48
135.39,17219.09,470.48
127.22,17210.37,995.30
132.20,17210.37,995.30
133.58,17207.05,1527.31
146.72,17207.05,1527.31
145.12,17203.53,1968.49
145.12,17203.53,2573.88
143.95,17200.21,2573.88
143.95,17194.40,3200.20
143.95,17194.40,3200.20
143.26,17190.73,3810.38
143.26,17190.73,4306.00
144.27,17184.23,4306.00
144.27,17184.23,4830.94
145.04,17184.23,4830.94
145.04,17178.32,5314.02
145.04,17178.32,5796.89
144.44,17172.51,5796.89
144.44,17172.51,6313.50
144.68,17166.56,6313.50
144.68,17166.56,6825.91
144.01,17166.56,7304.76
144.01,17159.71,7304.76
144.01,17159.71,7775.16
144.78,17156.12,7775.16
144.78,17156.12,8195.21
148.36,17156.12,8195.21
148.36,17148.24,8800.20
154.69,17148.24,8800.20
160.02,17142.22,9220.55
160.02,17142.22,9220.55
165.54,17139.52,9661.88
168.33,17136.41,9661.88
168.33,17136.41,9661.88
169.63,17130.71,10089.22
169.63,17130.71,10089.22
169.63,17128.32,10544.53
169.57,17125.66,10544.53
169.57,17125.66,10544.53
169.42,17119.71,10985.86
169.42,17119.71,10985.86
169.36,17114.73,11399.22
169.36,17114.73,11399.22
169.36,17112.45,11833.55
169.21,17109.65,11833.55
169.21,17109.65,11833.55
169.22,17105.76,12246.94
169.22,17105.76,12246.94
169.69,17099.69,12702.37
169.69,17099.69,12702.37
169.69,17099.69,12702.37
169.01,17094.71,13136.70
169.01,17094.71,13136.70
169.48,17089.11,13564.05
169.48,17089.11,13564.05
168.35,17086.93,13998.38
168.35,17084.75,13998.38
168.35,17084.75,13998.38
169.50,17080.08,14341.83
169.50,17080.08,14341.83
169.43,17077.90,14650.33
169.43,17075.62,14650.33
169.44,17075.62,14650.33
169.44,17070.33,14972.81
169.44,17070.33,14972.81
169.22,17065.77,15295.28
169.22,17065.77,15295.28
169.46,17063.59,15603.78
169.46,17061.41,15603.78
169.62,17061.41,15603.78
169.62,17056.12,15968.20
167.60,17056.12,15968.20
167.60,17053.84,16311.65
167.60,17051.66,16311.65
170.63,17051.66,16501.30
170.63,17048.24,16501.30
169.04,17048.24,16501.30
169.04,17042.74,16802.81
169.13,17042.74,16802.81
169.13,17040.56,17111.30
169.13,17038.90,17111.30
169.67,17038.90,17377.85
169.67,17034.23,17377.85
169.30,17034.23,17377.85
169.30,17032.16,17672.37
169.69,17030.19,17672.37
169.69,17030.19,17917.94
169.69,17025.83,17917.94
169.55,17025.83,18156.53
169.55,17021.58,18156.53
169.40,17021.58,18156.53
169.40,17019.61,18367.15
169.57,17017.53,18367.15
169.57,17017.53,18577.77
169.57,17013.07,18577.77
169.57,17013.07,18577.77
169.57,17011.00,18774.41
170.50,17008.71,18774.41
170.50,17008.71,18929.10
175.53,17004.25,18929.10
175.53,17004.25,18936.98
175.53,17001.35,18936.98
180.94,17001.35,18936.98
180.94,16998.76,18937.87
184.99,16996.27,18937.87
184.99,16996.27,18938.76
186.82,16991.70,18938.76
186.82,16991.70,18946.64
185.70,16989.52,18946.64
185.70,16987.76,18946.64
185.70,16987.76,19066.38
179.84,16983.82,19066.38
179.84,16983.82,19256.02
177.18,16980.08,19256.02
177.18,16980.08,19473.64
173.69,16977.90,19473.64
173.69,16975.83,19473.64
173.69,16975.83,19670.27
170.20,16971.58,19670.27
170.20,16971.58,19901.87
169.68,16969.50,19901.87
169.68,16967.53,20056.56
169.46,16967.53,20056.56
169.46,16963.38,20056.56
169.55,16963.38,20204.26
169.55,16959.44,20204.26
169.55,16959.44,20393.91
169.71,16957.47,20393.91
169.71,16955.60,20393.91
169.72,16955.60,20583.56
169.72,16951.66,20583.56
169.73,16951.66,20696.30
169.73,16949.17,20696.30
169.73,16947.10,20830.02
170.19,16947.10,20830.02
170.19,16943.46,20830.02
172.33,16943.46,20942.77
172.33,16939.63,20942.77
176.07,16939.63,20964.63
176.07,16937.86,20964.63
176.07,16936.00,20965.52
179.66,16936.00,20965.52
179.66,16932.47,20965.52
181.42,16932.47,20966.41
181.42,16930.39,20966.41
182.57,16928.32,20967.30
182.57,16928.32,20967.30
182.57,16924.38,20968.19
182.88,16924.38,20968.19
182.88,16920.23,20968.19
185.10,16920.23,20969.08
185.10,16918.14,20969.08
186.71,16916.27,20969.97
