#v_a,w,h
10.48,19420.12,230.63
2.82,19420.12,230.63
1.21,19420.12,196.56
3.8,19419.61,196.56
1.88,19419.61,196.56
1.88,19419.29,211.44
1.15,19419.29,211.44
1.15,19416.8,212.33
0.63,19416.18,212.33
0.63,19416.18,178.26
0.63,19415.35,178.26
2.37,19415.35,178.26
10.07,19415.35,172.16
14.77,19414.42,172.16
16.48,19414.42,173.05
16.48,19413.59,173.05
16.94,19413.59,201.9
11.28,19412.76,201.9
11.28,19412.76,201.9
11.87,19412.76,216.77
11.48,19411.72,216.77
11.48,19411.72,217.66
17.29,19400.52,217.66
18.18,19400.52,218.55
16.06,19400.52,218.55
16.06,19399.48,218.55
26.42,19399.48,219.44
19.63,19398.76,219.44
21.22,19398.76,206.35
21.22,19397.72,206.35
17.7,19397.72,206.35
17.7,19397.72,200.25
14.9,19396.89,200.25
14.9,19396.89,222.11
11.01,19395.95,222.11
5.08,19395.95,195.03
9.43,19395.95,195.03
7.98,19394.92,195.03
7.98,19389.94,209.9
7.98,19389.21,209.9
4.88,19389.21,224.78
0.75,19387.97,224.78
10.84,19387.97,211.68
6.32,19387.97,211.68
12.77,19386.72,211.68
10.55,19386.72,219.56
14.58,19386.41,219.56
14.58,19386.41,227.44
15.4,19386.41,227.44
10.1,19385.48,228.33
10.1,19385.48,228.33
5.72,19384.13,228.33
1.26,19377.9,229.22
5.79,19377.7,229.22
11.97,19377.7,230.11
11.97,19377.7,230.11
2.61,19376.56,230.11
7.36,19376.56,231
17.57,19376.56,231
86.22,19372.3,231.89
119.86,19372.3,231.89
135.39,19372.3,470.48
135.39,19369.09,470.48
127.22,19360.37,995.3
132.2,19360.37,995.3
133.58,19357.05,1527.31
146.72,19357.05,1527.31
145.12,19353.53,1968.49
145.12,19353.53,2573.88
143.95,19350.21,2573.88
143.95,19344.4,3200.2
143.95,19344.4,3200.2
143.26,19340.73,3810.38
143.26,19340.73,4306
144.27,19334.23,4306
144.27,19334.23,4830.94
145.04,19334.23,4830.94
145.04,19328.32,5314.02
145.04,19328.32,5796.89
144.44,19322.51,5796.89
144.44,19322.51,6313.5
144.68,19316.56,6313.5
144.68,19316.56,6825.91
144.01,19316.56,7304.76
144.01,19309.71,7304.76
144.01,19309.71,7775.16
144.78,19306.12,7775.16
144.78,19306.12,8195.21
148.36,19306.12,8195.21
148.36,19298.24,8800.2
154.69,19298.24,8800.2
160.02,19292.22,9220.55
160.02,19292.22,9220.55
165.54,19289.52,9661.88
168.33,19286.41,9661.88
168.33,19286.41,9661.88
169.63,19280.71,10089.22
169.63,19280.71,10089.22
169.63,19278.32,10544.53
169.57,19275.66,10544.53
169.57,19275.66,10544.53
169.42,19269.71,10985.86
169.42,19269.71,10985.86
169.36,19264.73,11399.22
169.36,19264.73,11399.22
169.36,19262.45,11833.55
169.21,19259.65,11833.55
169.21,19259.65,11833.55
169.22,19255.76,12246.94
169.22,19255.76,12246.94
169.69,19249.69,12702.37
169.69,19249.69,12702.37
169.69,19249.69,12702.37
169.01,19244.71,13136.7
169.01,19244.71,13136.7
169.48,19239.11,13564.05
169.48,19239.11,13564.05
168.35,19236.93,13998.38
168.35,19234.75,13998.38
168.35,19234.75,13998.38
169.5,19230.08,14341.83
169.5,19230.08,14341.83
169.43,19227.9,14650.33
169.43,19225.62,14650.33
169.44,19225.62,14650.33
169.44,19220.33,14972.81
169.44,19220.33,14972.81
169.22,19215.77,15295.28
169.22,19215.77,15295.28
169.46,19213.59,15603.78
169.46,19211.41,15603.78
169.62,19211.41,15603.78
169.62,19206.12,15968.2
167.6,19206.12,15968.2
167.6,19203.84,16311.65
167.6,19201.66,16311.65
170.63,19201.66,16501.3
170.63,19198.24,16501.3
169.04,19198.24,16501.3
169.04,19192.74,16802.81
169.13,19192.74,16802.81
169.13,19190.56,17111.3
169.13,19188.9,17111.3
169.67,19188.9,17377.85
169.67,19184.23,17377.85
169.3,19184.23,17377.85
169.3,19182.16,17672.37
169.69,19180.19,17672.37
169.69,19180.19,17917.94
169.69,19175.83,17917.94
169.55,19175.83,18156.53
169.55,19171.58,18156.53
169.4,19171.58,18156.53
169.4,19169.61,18367.15
169.57,19167.53,18367.15
169.57,19167.53,18577.77
169.57,19163.07,18577.77
169.57,19163.07,18577.77
169.57,19161,18774.41
170.5,19158.71,18774.41
170.5,19158.71,18929.1
175.53,19154.25,18929.1
175.53,19154.25,18936.98
175.53,19151.35,18936.98
180.94,19151.35,18936.98
180.94,19148.76,18937.87
184.99,19146.27,18937.87
184.99,19146.27,18938.76
186.82,19141.7,18938.76
186.82,19141.7,18946.64
185.7,19139.52,18946.64
185.7,19137.76,18946.64
185.7,19137.76,19066.38
179.84,19133.82,19066.38
179.84,19133.82,19256.02
177.18,19130.08,19256.02
177.18,19130.08,19473.64
173.69,19127.9,19473.64
173.69,19125.83,19473.64
173.69,19125.83,19670.27
170.2,19121.58,19670.27
170.2,19121.58,19901.87
169.68,19119.5,19901.87
169.68,19117.53,20056.56
169.46,19117.53,20056.56
169.46,19113.38,20056.56
169.55,19113.38,20204.26
169.55,19109.44,20204.26
169.55,19109.44,20393.91
169.71,19107.47,20393.91
169.71,19105.6,20393.91
169.72,19105.6,20583.56
169.72,19101.66,20583.56
169.73,19101.66,20696.3
169.73,19099.17,20696.3
169.73,19097.1,20830.02
170.19,19097.1,20830.02
170.19,19093.46,20830.02
172.33,19093.46,20942.77
172.33,19089.63,20942.77
176.07,19089.63,20964.63
176.07,19087.86,20964.63
176.07,19086,20965.52
179.66,19086,20965.52
179.66,19082.47,20965.52
181.42,19082.47,20966.41
181.42,19080.39,20966.41
182.57,19078.32,20967.3
182.57,19078.32,20967.3
182.57,19074.38,20968.19
182.88,19074.38,20968.19
182.88,19070.23,20968.19
185.1,19070.23,20969.08
185.1,19068.14,20969.08
186.71,19066.27,20969.97
186.71,19066.27,20969.97
186.71,19062.03,20969.97
188.39,19062.03,20970.86
188.39,19060.79,20970.86
189.16,19059.13,20971.75
189.16,19059.13,20971.75
189.09,19054.88,20979.63
189.09,19054.88,20979.63
189.09,19050.21,20979.63
190.32,19050.21,20973.52
190.32,19048.34,20973.52
189.95,19046.47,20974.41
189.95,19046.47,20974.41
189.96,19042.43,20975.3
189.96,19042.43,20975.3
189.96,19040.56,20975.3
190.27,19038.69,20976.19
190.27,19038.69,20976.19
190.74,19035.37,20991.06
190.74,19035.37,20991.06
189.84,19030.39,20991.95
189.84,19030.39,20991.95
189.84,19028.53,20991.95
185.74,19026.56,21125.67
185.74,19026.56,21125.67
181.56,19022.41,21329.3
181.56,19022.41,21329.3
177.61,19020.54,21525.94
177.61,19018.46,21525.94
177.61,19018.46,21525.94
173.44,19015.04,21715.59
173.44,19015.04,21715.59
170.48,19011.2,21933.2
170.48,19011.2,21933.2
170.18,19009.02,21933.2
170.18,19007.16,22108.87
169.96,19007.16,22108.87
169.96,19003.63,22263.56
169.96,19003.63,22263.56
169.97,19001.66,22376.31
169.97,18999.69,22376.31
170.06,18999.69,22376.31
170.06,18995.95,22468.08
169.99,18995.95,22468.08
169.99,18992.22,22566.84
169.99,18992.22,22566.84
170,18990.25,22637.64
170,18988.38,22637.64
169.94,18988.38,22637.64
169.94,18984.75,22722.42
170.02,18984.75,22722.42
170.02,18982.47,22821.19
170.02,18980.71,22821.19
170.26,18980.71,22898.98
170.26,18976.97,22898.98
171.03,18976.97,22898.98
171.03,18973.44,22983.76
173.09,18973.44,22983.76
173.09,18971.7,23005.62
173.09,18969.73,23005.62
175.16,18969.73,22992.53
175.16,18966.38,22992.53
177.15,18966.38,22992.53
177.15,18964.63,22965.46
177.92,18962.66,22965.46
177.92,18962.66,22966.35
177.92,18958.71,22966.35
179.22,18958.71,22966.35
179.22,18955.29,22967.23
180.3,18955.29,22967.23
180.3,18953.32,22968.12
181.07,18951.35,22968.12
181.07,18951.35,22969.01
181.07,18947.72,22969.01
181.08,18947.72,22969.01
181.08,18945.85,22969.9
181.08,18943.98,22969.9
181.08,18943.98,22970.79
181.09,18940.25,22970.79
181.09,18940.25,22971.68
181.09,18936.2,22971.68
182.02,18936.2,22971.68
182.02,18934.23,22972.57
182.03,18932.16,22972.57
182.03,18932.16,22973.46
182.04,18928.84,22973.46
182.04,18928.84,22974.35
182.04,18926.97,22974.35
182.05,18924.9,22974.35
182.05,18924.9,22975.24
182.06,18921.68,22975.24
182.06,18921.68,22976.13
182.06,18917.43,22976.13
182.06,18917.43,22976.13
182.06,18915.56,23011.97
182.07,18914,23011.97
182.07,18914,22984.9
181.93,18910.27,22984.9
181.93,18910.27,22978.8
181.94,18908.61,22978.8
181.94,18906.74,22978.8
182.41,18906.74,23007.65
182.41,18902.9,23007.65
182.41,18902.9,23022.52
183.03,18898.76,23022.52
183.03,18898.76,23023.41
183.11,18896.99,23023.41
183.11,18895.23,23023.41
183.88,18895.23,23017.31
183.88,18891.8,23017.31
183.88,18891.8,22983.24
184.12,18889.52,22983.24
184.12,18887.34,22984.13
184.43,18887.34,22984.13
184.43,18884.02,22984.13
184.21,18884.02,22992.01
184.21,18879.46,22992.01
184.21,18879.46,23027.86
184.45,18878.01,23027.86
184.45,18876.45,23014.76
184.31,18876.45,23014.76
184.31,18872.61,23014.76
183.03,18872.61,22987.69
183.03,18870.64,22987.69
183.03,18868.88,22988.58
182.2,18868.88,22988.58
182.2,18865.35,22988.58
182.44,18865.35,22989.47
182.44,18862.03,22989.47
182.67,18862.03,22990.36
182.67,18860.06,22990.36
179.49,18858.3,22991.25
